filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	c1cf0914-68c5-426d-9e48-463c159d335a	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	505	70.974998	1.087500	870	TRUE	70.974998	870	1.087500	308	9.412882	0.000000	89.245834	8.458504
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	46e4f0d0-19ea-443c-b4c0-a4e8ca8c6ee5	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	139	70.435753	1.626750	1301	TRUE	70.497002	1252	1.565500	586	10.684022	0.000000	86.570183	10.271042
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	c4496c35-2499-4667-963c-3fc9b6f984ec	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	195	34.135502	7.553500	6042	TRUE	34.385502	5842	7.303500	3468	10.691771	0.000000	87.174362	10.184731
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	a336624c-eb09-44cf-9ed9-a113604ffe69	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	78	36.189751	3.174500	2539	TRUE	36.344749	2415	3.019500	524	8.084201	0.000000	84.067162	9.839478
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	b7d4d167-290c-4ae0-8690-2e1be63f6229	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	127	112.292999	3.290250	2632	TRUE	112.322998	2608	3.260250	1347	9.217199	0.000000	81.132576	10.184731
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	00faac68-1f28-45f3-8d4d-faebab930d8b	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	16	120.360497	1.836500	1469	TRUE	120.432999	1411	1.764000	816	7.924688	0.000000	83.721916	10.357353
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	b252c167-12c7-4816-a81a-d1f394367284	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	444	122.970253	1.093750	875	TRUE	123.120247	755	0.943750	344	9.981347	0.000000	85.620758	10.357353
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	e31ec522-7a1e-4ca9-b17d-a651de79cdf7	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	165	96.289749	1.435000	1148	FALSE	96.309753	1132	1.415000	546	6.798397	0.000000	81.823067	8.458504
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	817c7189-c698-47c5-a8b4-8f9ec2508b73	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	443	113.444504	1.760000	1408	TRUE	113.610748	1275	1.593750	631	10.890069	0.000000	84.239784	10.357353
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	788b2e00-5c48-4a70-8176-bff05657638c	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	394	135.445007	1.997000	1597	TRUE	135.809998	1305	1.632000	658	9.972746	0.000000	91.317307	9.666862
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	2df3e396-5c68-430d-a7b0-238922bcde13	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	238	66.062752	5.999500	4799	TRUE	66.084000	4782	5.978250	2431	11.403297	0.000000	81.132576	10.184731
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	0458a43a-da1d-4da3-a0ec-bc1b0be73c0f	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	65	91.859749	0.915000	732	TRUE	91.973503	641	0.801250	382	10.481061	0.000000	93.561394	11.738335
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	0039d914-0707-4cc2-9eb2-7bb9c678adab	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	340	124.966751	1.807000	1445	TRUE	125.050499	1378	1.723250	662	11.382088	0.000000	85.102890	10.184731
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	29c5ee1a-d770-443b-9f5d-6a9d0ce9a406	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	69	65.780251	1.123500	898	TRUE	65.805252	878	1.098500	488	10.115806	0.000000	84.239784	9.321609
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	11246ebd-2ab3-4814-9e0c-034daddf9a43	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	255	130.343002	1.542250	1233	TRUE	130.473007	1129	1.412250	618	8.033315	0.000000	81.305199	9.839485
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	384429db-9abb-47b3-988c-b27f2cdd5358	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	404	70.366501	1.695750	1356	TRUE	70.460251	1281	1.602000	610	12.014868	0.000000	85.102890	10.357353
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	ddcfde60-4a21-439f-a171-789e4c56774c	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	486	96.225754	1.498750	1199	TRUE	96.285751	1151	1.438750	608	8.131802	0.000000	80.959953	9.666862
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	267622a9-0716-4bc5-ad0e-d10eaf35bd89	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	347	110.618248	2.337500	1870	TRUE	110.644501	1849	2.311250	921	9.742649	0.000000	87.174362	10.012100
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	248bf1da-a801-4257-a4a2-6217d724a6f2	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	341	61.991749	10.070750	8056	TRUE	62.050499	8009	10.012000	3920	13.101894	0.000000	86.311249	9.666855
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	3477f797-ef1b-460c-90ff-94c5eb9afeed	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	413	32.978249	0.991500	793	TRUE	33.067001	722	0.902750	363	9.551941	0.000000	88.382721	11.047836
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	9ee425d3-bff3-4607-9613-e7fdc2202dc3	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	127	58.612499	1.871250	1497	TRUE	58.656250	1462	1.827500	758	11.469181	0.000000	83.204048	9.666859
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	3a1e1b80-34fc-427d-89c0-5f004634c859	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	492	11.277000	0.777750	622	TRUE	11.399500	524	0.655250	220	8.644077	0.000000	81.823067	12.601440
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	13dac081-53ed-4252-9e43-e86f35f9d616	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	281	62.654499	4.669250	3735	TRUE	62.856998	3573	4.466750	1711	10.494940	0.000000	93.043526	11.047836
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	d472bfe8-ff5a-4b53-97ad-985ffcede688	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	186	109.569748	1.270250	1016	TRUE	109.602249	990	1.237750	491	11.818142	0.000000	83.376671	10.012108
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	c963f2ad-895c-40ca-b448-166df363f06d	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	409	84.039497	7.864000	6291	TRUE	84.095749	6246	7.807750	3196	9.535847	0.000000	97.531715	9.148994
FAL05228_ec41d239fd9a2701d7833dd23b29b3bdf1020b90_0.fast5	239ab955-e988-4e8b-82d8-4a862c5e15b8	ec41d239fd9a2701d7833dd23b29b3bdf1020b90	425	58.163750	6.332500	5066	TRUE	58.320000	4941	6.176250	2337	10.494116	0.000000	86.656494	9.839485
